token,created_at,futures,spot
FON,2026-02-25T10:30:15,bitmart,bitmart
MACMINI,2026-02-25T10:56:23,bingx,
CATON,2026-02-25T11:30:29,,bitmart
FLD,2026-02-25T12:00:01,,gate/mexc
GEON,2026-02-25T12:30:30,gate,bitmart/gate
PYPLON,2026-02-25T13:30:16,,bitmart
HOOD,2026-02-25T14:00:03,okx,
NGAS,2026-02-25T14:01:03,bitmart,
VSN,2026-02-25T14:06:28,bingx,
BAON,2026-02-25T14:30:30,,bitmart
TSLA,2026-02-25T14:32:06,okx,
MSTR,2026-02-25T14:32:13,okx,
AGENC,2026-02-25T15:30:07,bingx,bitmart
FELIX,2026-02-25T15:32:07,bingx,
MAXXING,2026-02-25T15:32:14,bingx,
DONT,2026-02-25T16:38:02,bingx,
ROBO,2026-02-25T16:51:52,bybit/bingx/gate/mexc/bitmart/kucoin/binance/bitget/okx/Aster/htx,mexc/Binance Alpha/gate/bitget/bitmart
XMN,2026-02-25T17:00:03,,htx
WARD,2026-02-25T17:29:06,,htx
ZAMA,2026-02-25T19:15:23,,hyperliquid
GGBR,2026-02-25T22:30:19,,bitmart
BASTOCK,2026-02-25T23:40:28,mexc,
CFG,2026-02-26T10:00:30,bingx,upbit
GWEI,2026-02-26T10:38:26,,bithumb
BMNRON,2026-02-26T11:30:36,bitmart,bitmart
GUA,2026-02-26T12:00:02,mexc,bingx
BIDUON,2026-02-26T12:30:20,mexc/gate/bitmart,bitmart
MELISTOCK,2026-02-26T12:37:49,mexc,mexc
SNOWSTOCK,2026-02-26T12:38:34,mexc,mexc
INTUSTOCK,2026-02-26T12:39:26,mexc,mexc
PACT,2026-02-26T13:29:20,,gate/mexc
LINON,2026-02-26T13:30:22,,bitmart
INTC,2026-02-26T14:00:06,okx,
PLTR,2026-02-26T14:15:05,okx,
AMZN,2026-02-26T14:30:02,okx,
BILION,2026-02-26T14:30:22,,bitmart
COIN,2026-02-26T14:45:05,okx,
CRCL,2026-02-26T15:00:07,okx/Aster,
RIVNON,2026-02-26T15:30:21,,bitmart
ESTV,2026-02-26T16:30:23,,bitmart
PIPPKIN,2026-02-26T17:00:23,bingx,bitmart
GRIFFAIN,2026-02-26T21:58:34,Aster,
PIGEON,2026-02-27T10:15:15,bingx,
MANTRA,2026-02-27T10:21:23,,htx/gate
WAROLD,2026-02-27T10:27:38,,htx
KLACON,2026-02-27T11:30:40,bitmart,bitmart
DENT,2026-02-27T12:16:53,htx,
SIREN,2026-02-27T12:18:16,htx,
BLKON,2026-02-27T12:30:24,bitmart,bitmart
ANETON,2026-02-27T13:30:25,bitmart,bitmart
MELI,2026-02-27T14:00:23,bitmart,
INTU,2026-02-27T14:01:01,bitmart,
JELLYBEAN,2026-02-27T14:16:07,bingx,bitmart
PANWON,2026-02-27T14:30:27,,bitmart
INTUON,2026-02-27T15:30:22,,bitmart
WHSPR,2026-02-27T18:00:07,,mexc
CARROT,2026-02-28T12:00:01,,mexc
IEMGON,2026-02-28T13:31:01,bitmart,bitmart
ISRGON,2026-02-28T13:31:03,bitmart,bitmart
MELION,2026-02-28T13:31:05,,bitmart
MPON,2026-02-28T13:31:08,bitmart,bitmart
VRTON,2026-02-28T13:31:10,bitmart,bitmart
FOM,2026-02-28T14:30:35,,bitmart
FREEDOMMONEY,2026-02-28T14:51:54,bingx,
SAHARA,2026-02-28T15:16:18,htx,
REPAI,2026-03-01T12:00:01,,mexc
CL,2026-03-01T21:05:50,Aster,
KAT,2026-03-02T11:19:07,binance/mexc/bingx/gate/kucoin/Aster/bybit/okx,mexc
BTW,2026-03-02T12:00:01,mexc/bingx/bitmart,bingx/mexc/bitget/htx
PAXG,2026-03-02T12:04:51,Aster/bingx,
TAA,2026-03-02T15:00:03,,bingx
AUTISM,2026-03-02T16:16:29,bingx,
HODL,2026-03-02T16:18:43,bingx,
COST,2026-03-02T16:22:18,bitget/gate,
TSM,2026-03-02T16:22:20,bitget/gate,
WMT,2026-03-02T16:22:22,bitget/gate,
IDOS,2026-03-02T18:13:15,,gate
USOIL,2026-03-02T18:42:04,htx,
LMTS,2026-03-02T21:04:44,,hyperliquid
RTX,2026-03-03T09:38:47,gate/bitmart,
GD,2026-03-03T09:39:38,gate/bitmart,
NOC,2026-03-03T09:44:02,gate/bitmart,
BA,2026-03-03T09:46:43,gate,
GER40,2026-03-03T09:57:15,gate/bitmart,
KATC,2026-03-03T10:08:55,,gate
APAD,2026-03-03T12:00:01,,htx/mexc
FAI,2026-03-03T14:23:30,bingx,
TSMSTOCK,2026-03-03T14:30:27,mexc,
CVXSTOCK,2026-03-03T14:32:57,mexc,mexc
BDTC,2026-03-03T15:30:25,,bitmart
FRAX,2026-03-03T16:00:04,,htx
USDG,2026-03-03T16:00:19,kucoin,
EWY,2026-03-04T01:01:12,Aster,
NATGAS,2026-03-04T01:01:14,Aster,
PHA,2026-03-04T01:04:29,Aster,
